,Comment,Date,Insult,Usage
2068,"""What an honor to be able to see you so 'up close and personal' .............. I will be counting the sleeps,  If I had a tail ..................... I would wag it  :-)""",,0,
2069,"""Truthincaps for you to understand.\xa0 Just a second, doctor, a patient for you in Gaza.""",20120620023823Z,0,
2070,"""Any chance they served deep fried anything on a stick at this event?""",20120528000552Z,0,
2071,"""LOTS OF FOULS . . . LOTS OF FREE THROWS MADE. . . . COMIN' UP!""",20120529022715Z,0,
2072,"""I will fuck the shit outta of judge Judy have her hollering ""order"" ""order"" ""order""""",20120609205825Z,0,
2073,"""\\xc2\\xa0If you take out the fags and booze and such like, leaving say\\xc2\\xa0 \\xc2\\xa3170 per week say and then recognise that they are feeding 8 people then that doesn't seem too extreme (\\xc2\\xa33 or so per day per person).\\n\\nI've no sympathy though because they should be spending their money more wisely given their circumstances.""",,0,
2074,"""Fuck Toygers I want a Mutini""",20120612051716Z,0,
2075,"""First off...you do NOT need to be married to make end of life decision, or purchase health insurance together.  So basically you just want to file a joint tax return??\n\nLook, read any of my posts, I am for equal rights for all citizens.  But it pisses me off when you have to make up phony benefits just to explain to some simpleton, religious nut, why you should also have the right to be married.\n\nMarriage is an institituion of the church...so why gays who are so hated by the church...would want to get married is beyond me.  But it should be their right.  A human being is a human being...period!""",20120619205210Z,0,
2076,"""@caljb7 i'm on AAC then ya dumb fuck""",20120619161715Z,1,
2077,"""More run support = more confidence when pitching = better results.""",20120529223933Z,0,
2078,"""What did they expect when they ask miming quees "" Ms.Cole"" to appear.  Did they think the rating was going to improve. I just think the judges  arent very good and people are getting bored of these talent shows. Its  the same thing over and over again.""",20120528120219Z,0,
2079,"""It probably was a white guy high on drugs who looked Asian with his eyes half way\xa0closed.""",20120610143015Z,0,
2080,"""They cant beat spanish players so they are trying these cheap shots...""",,0,
2081,"""I admire him, he is a true warrior king of old.\n\nThe difference between a general and a warlord is that a general only follows orders, a warlord is only constrained by the rules he agrees to.\n\nIt was a pathetic joke that Obama was given an honorary black belt in Taekwondo without earning it.\n\n Putin is a better man than that... your standards of measuring a man (even an adversary) is as pathetic.\n\nNo, I think Putin is more honest than you will admit.""",20120620112903Z,0,
2082,"""The M25 struggles to cope with airport traffic. Tube connections are not useful for all travellers.\nThe infrastructure can't cope now!""",20120528122044Z,0,
2083,"""It's just you smelling your armpits again. GO back to your nails""",20120503023510Z,1,
2084,"""God does not fuck.""",20120619205104Z,0,
2085,"""smearedsxhit, what does the phrase below mean?\xa0 I'm just (after all) a 'stupid teabagger, and you are a more intelligent corn filled Obamaballsniffer, so please explain this:\n\n""....I give Fox Nation 3 more weeks.\nThen it's off to stormfront for the baggers.""\n\nWhat is 'stormfront?'\xa0 Because, that is the same term 'Berthole' used last night when he/she/it was lurking on another thread.\xa0 Could this mean that you are berthole, lindie and smellyterd!!!\xa0 All rolled into one ignorant pieceofppppoop?""",20120611221923Z,1,
2086,"""Do you realize how retarded, ignorant, sorry, and pathetic you sound?""",20120320195948Z,1,
2087,"""Are you saying a woman's right to vote was revoked after 1920?""",20120620032842Z,0,
2088,"""It's a quote people...chill the fuck out -.-""",20120619055420Z,0,
2089,"""Substantiate your slur....or should we talk about the bi-sek'sual in the WH?\xa0 Don't you think the name Larry Sinclair should be included in your internet 'whispering' campaign?""",20120527175509Z,1,
2090,"""damn i need to stop regarding fuckign tvspot""",20120618191017Z,0,
2091,"""Wally the bigot, and\xa0 cmorris the racist. The new faces of ignorance for the new south. No matter how often they wash their black sheet, it will still carry the smell. Good luck guys, and all those like you. God has a special section for you to sit in when you arrive and your resting spot.""",20120320113848Z,1,
2092,"""Thanks for demonstraing the idiocy of the bigot. I'm not gay, but support gay marriage. Try and compute that one, dimwit. Your birth certifictae was an apology from the condom factory.""",,0,
2093,"""Where on your body are you planning on getting it?""",20120502215227Z,0,
2094,"""You have my permission to leave.""",20120611174405Z,0,
2095,"""Romney's track record in elections is not particularly good when he comes face-to-face with effective politicians and campaigners (as opposed to has-beens and laughingstocks).\nGiven how Rubin demeaned Gingrich and Santorum during the primaries, she can't really see Romney's nomination as some great achievement.""",20120529162708Z,0,
2096,"""I would rather some one with ""blood money""(although the you tube was with out merit) than someone with blood already on their hands like Obama.""",20120529003150Z,0,
2097,"""You sir are not intelligent""",20120529044531Z,1,
2098,"""Hey moron ""William Reynolds"", impeach YOURSELF and then go kiss a Muslim like your hero Bush.""",20120619161101Z,1,
2099,"""I will buy one of these thing today. they look so fucking awesome. They better not fuck with the Version and just keep ONE.""",20120619042319Z,0,
2100,"""You are joking, yes??""",20120612030746Z,0,
2101,"""I would slap you silly but clearly you are already there.""",20120619024417Z,1,
2102,"""Really Joe?\xa0 \nI don't recall anywhere in the\xa0""All My Children"" storyline where little boys were raped and sodomized...refresh my memory please...\nBut I guess you'd know all about children, since you impregnated a 16 year old in the past wouldn't you?\xa0 You're as much a pos as your sicko client...........""",20120619134211Z,1,
2103,"""i dont care. I will never agree with you. In a few years we will know. Wait it out""",20120528231036Z,0,
2104,"""This report on the same subject is also confusing, but slightly less so:\xa0\nhttp://www.maannews.net/eng/ViewDetails.aspx?ID=490378""",20120530014316Z,0,
2105,"""@Enundr\xa0lol.....You sir, are a jackass. wipe the tears from your eyes and move on. Mass Effect sucks.""",20120619205743Z,1,
2106,"""http://wiki.eveonline.com/en/wiki/Vigilant\xa0\nBet your glad you didn't have the balls to use your real name. You look like such a dumb ass now (check vigilant bonuses on that link)""",20120320171545Z,1,
2107,"""Hey lawmanjed, don't let the trolls get to you -- they get off on being intentionally irrational because they know that you expect them to be rational.\n\nJust step over them.""",20120529022631Z,0,
2108,"""Oooooooo, they might get Michael More on us. Great! He's about due for a stroke/coronary about now anyway. If Fox caused it, even better. Besides, isn't he a one percenter with his mansion and big ass-ets? """,,0,
2109,"""One thing I've learned in 3+years. People that make childish plays on Obama's name or call him things such as the Messiah are really pea-brains.""",20120529172417Z,0,
2110,"""Hey Queeny...if you are litterate, which I doubt being into PCP and chit homie, read Zimmermans Police File with the Orange County Clerk of Courts:\n\nhttp://myclerk.myorangeclerk.com/CaseDetail.aspx?CaseID=5797428""",20120619010746Z,0,
2111,"""Get I life u bitch!!!\navande ammede oru lekhanam...""",20120502101915Z,1,
2112,"""This country is broke.\\xc2\\xa0 Economy is in a tank.\\xc2\\xa0 People are unemployed.\\xc2\\xa0 All New Jersey's Senate cares about is Gay Marriage.\\xc2\\xa0 Can gay Marriage fix this country economy ?\\xc2\\xa0 Can gay marriage stimulate jobs in New Jersey ?\\xc2\\xa0 Can Gay Marriage seriously benefit the general public of heterosexuals ?\\xc2\\xa0 """,,0,
2113,"""Christ died for your sins.  if you do not sin, Christ died for nothing!""",20120527175713Z,0,
2114,"""If someone were to write a parody of a left-wing\xa0psychopath, it would read an AWFUL lot like this post of yours.""",20120611232310Z,0,
2115,"""Why don't you give a sprinkling of your magic pixie dust?""",20120503004155Z,0,
2116,"""It's clueless racists like you who are in complete denial. This boy WAS in fact killed because of his race. There is no ""race card"". So now that they mentioned race, you are no longer ""behind them""? You're as sick as the bastard who pulled the trigger.""",20120320140135Z,1,
2117,"""Wow if you can't get used to it then I don't know wtf to tell you. It should not be a surprise to see AKP post these things. You can choose not to click on it or if it's such an eyesore go to a different site for kpop news why don't you?\n\nYou were directing your comment to the staff? Hm, ok sure. I don't see why you should post it on the comment section. And you don't know how many times I have to see comments about this article being useless. It's tiring and repetitive. So just contact the staff like you will if you're really annoyed.""",20120620011345Z,0,
2118,"""How old are you?""",20120515122956Z,0,
2119,"""YOU STUPID SHIT! STOP SPAMMING! DELETE HIS PROFILE!!!""",20120619163844Z,1,
2120,"""hahahahahaha snort hahahahahahahaha""",20120620035708Z,0,
2121,"""The difference between your wife and a rooster HoldYourOwn? The rooster says cock-a-doodle doo, your mama says any-cock'll do.""",20120619192141Z,1,
2122,"""Dear Pingback, fuck you or using ""vidya"" It's stupid as shit and you're not fucking funny or part of a precious internet club GTFO\r\nThat goes with you Oldfag, only exception is that ""fag"" is overused. Die bitch""",20120619155945Z,1,
2123,"""i got to admit he's hillarous with his facts""",20120528163624Z,0,
2124,"""You are an arrogant bitch and what is wrong with \xa0the World today, mostly caused by you pond life bankers!!!!!""",20120619184335Z,1,
2125,"""I would comment on how confidently the Kings are moving the puck around, but having a 4 goal lead would tend to instill confidence in your game""",20120612013426Z,0,
2126,"""FUCK YEAH, THE KILLING(is over)""",20120618231549Z,0,
2127,"""oh my dongsaeng~~ you are an angel sent from heaven to make us nameless feel soooo good! kkk! thank you^^""",20120610100911Z,0,
2128,"""Another worhless post from a worthless person.""",20120619013621Z,1,
2129,"""I love Cam Newton's upside, and think he'll be an All-Pro caliber QB, but 21 TD's and 17 Interceptions and NFL Network has him as the 10th best Heisman Winner to play in The NFL.  Tebow was also on that list.  ESPN had a problem with Tebow but never mentioned how stupid it was that a guy who had a ""decent"" year throwing the ball, for a bad team is suddenly on a list that Tim Brown is not on.  I'm so tired of ESPN hyping things up and blowing them way out of proportion, for better or worse.""",20120527211639Z,0,
2130,"""John, you need a female publisist...may I apply for this lifetime position in which I can attempt to enlighten you about our sex....you are soooo far away from ever finding a woman who will put up with your bullshit...where is your mother?\xa0 Time for you to have a talk with her....""",20120609211840Z,0,
2131,"""you're right; there weren't enough toothpick hangovers and tailwhips... Go fuck yourself""",20120530024344Z,1,
2132,"""and fuckface, in order to be situationally aware one would have to read the blog of last week in its entirety. from the point i called ew stupid and told many why they were wrong, till the point where u faggot started making separate threads discussing my trollness""",20120529171929Z,1,
2133,"""yo DETEEEESTO esa actitud de ""NOOOO! ALEJATE, EL ES MIO D:!"" da fuck bro? \nTan divertido que es sabrosearselos en grupo :c\ny lanzar frases de alba\xf1il""",20120620043957Z,0,
2134,"""@Yitan @orpi yo tengo el LoL intalado y me parece tan aburrido nose porque lo juegan tantos :SS (cambio de tema perdon )""",,0,
2135,"""You fake Indian. Jadunath, Bana Singh, Karam Singh are not sikhs sorry I wont tell you - because you are an ignorant idiot. The last name singh is used by Rajputs, Jats from Rajasthan, Haryana UP and Bihar.""",20120618191631Z,1,
2136,"""No to be Liverpool manager you must be willing to defend the indefensible""",,0,
2137,"""Kindly explain WTF you are talking about...""",20120528144941Z,0,
2138,"""The thing that realy scares me, is that we (and by we i mean our security services) have to be lucky 100% of the time. scum like this only have to get lucky once. And how do the Goverment respond? they open our borders to the world and let thoughs who hate us hide behind the (in)-human rights act. Time we acted a bit more like the U.S.A and remove or lock up for life. And i mean LIFE,  ANYONE who wishes to do us harm.""",,0,
2139,"""Jeff Bootstraps Fisher\n\n\nis a troll.\n\n\nanyone feel free to add to what you think of him.""",20120528231302Z,1,
2140,"""1979 - 2012 the Iran revolution has run its course. The world will be better off with a democratic Iran""",20120618232439Z,0,
2141,"""\\xc2\\xa0Stop suxing dik for cigarette money hole""",,1,
2142,"""Shows how much of a dumb-ass you are. Today she used The Globe as a source hahahahahahahahahaaaaa""",20120611200409Z,1,
2143,"""@douglass: because arabs fight back with AK-47s while afro-american negro's complain alot & walk around with peace sign say crappy words with no action behind it like ""no peace no justice"". the reason way the whites pick on you negro's alot [like a bully at a high school] is because you're still a ""P"" to the klans from the south. WHITE POWER.""",20120610151644Z,0,
2144,"""Liberals don't want military intervention, you buffoon.""",20120528145355Z,1,
2145,"""you should get banned....you are a little bit psycho""",20120502190806Z,1,
2146,"""LMAO.. You are another clueless moron....only liberal women are kept..they have the masters..""",20120619134429Z,1,
2147,"""I bet you bitch like hell about you taxes too. Keeping people in jail is not cheap""",20120529153830Z,0,
2148,"""@Lost Ones Did you see the interview? It was pretty good, he sort of shocked those guys back in the studio when he said that. They asked, ""we know you have the best record but are you the best team in the west?"" He answers, ""I think we\\'re the best team in the league."" """,,0,
2149,"""You really are a funny guy!""",20120530113127Z,0,
2150,"""I'll just show them your comment history, and after they apologize to me, I'll make an appt. with my lawyer.""",20120612144121Z,0,
2151,"""If he comes back, we continue.\n:)""",20120619041609Z,0,
2152,"""he was standing still during the last minute of the game when boston was ony 4 points ahead.\n\nQ U I T""",20120527194328Z,0,
2153,"""This.\n\nTravis, Cornell, Boyce--all them nukkas--I will NEVER forget nor forgive them for showing their black asses out.  Fuck them today, fuck them tomorrow, fuck them forever.""",20120612013453Z,1,
2154,"""So if they look ""normal"" to you and they commit a crime, then what? I'm ""not on board."" You're ""way off."" Of all the ridiculous nonsense to base your judgment on someone by ""how they look."" I'm surprised you'd let people know how your ""thinking"" process works. Pretty pathetic, and part and parcel of the kind of nonsense that has surrounded this case from the very beginning.""",20120611165323Z,0,
2155,"""Frankly, I'm disgusted with Detroit Tiger fans [?] for their cruel treatment of a true Detroit citizen Brandon Inge...and I'll never forgive myself for posting anything on this site. \xa0Am I ever happy for Brandon now, Adam Dunn too...everybody finds their own niche.""",20120529032555Z,0,
2156,"""can anyone say NDAA AND\xa0SURVEILLANCE DRONES, yup 20,000 of them in OUR SKIES in the\xa0next\xa05 years, SO THAT OUR GOVERNMENT CAN SPY ON US EVEN MORE!\xa0\xa0DO THE IMBICILES WHO SUPPORT OBAMA KNOW THAT HE IS\xa0\xa0LAUNCHING DRONES IN OUR SKIES TO SPY ON US? \xa0 I'll bet they don't, little do they know it's just the tip of the\xa0iceberg\xa0he is deconstructing our ENTIRE CONSTITUTION AND WAY OF LIFE!!! What freaking idiots! Go ahead you MORONS, vote him back in and you'll get what you deserve for YOUR STUPIDITY!""",20120618205011Z,1,
2157,"""K_K_K or Nazi? I can't tell which disease you suffer from? Could you please blog some more?""",,1,
2158,"""Whops, I meant to say how CA EDD HASN'T screwed the pooch.. because they have, big time.""",20120528093615Z,0,
2159,"""In my opinion, the odds are that, prompted by Tel Aviv, the NeoCons, and Christian fundamentalists in the Pentagon, a Romney Administration will attack Iran and commence a hundred year global religious war which everyone will lose.\n\nRegional alliances, constant combat, and widespread poverty will not be unlike the conditions described by George Orwell in his book, ""1984.""""",20120611171315Z,0,
2160,"""How did you know""",20120515221746Z,0,
2161,"""you are on to something there""",20120529163552Z,0,
2162,"""I agree with\xa0\u0648\u0639\u064a\u0634\u0647 \u0645\u062a\u0648\u0627\u0636\u0639\u0647 but the rest is a little vague.Perhaps your point about\xa0\u0648\u0634\u064a\u0639\u064a \u064a\u0633\u064a\u0631 \u0639\u0644\u0649 \u062f\u0631\u0628 \u0639\u0644\u064a needs a little expansion. Are you saying ALL the forces at work in syria pray to the same god? A jew god?\nWow. good point.""",20120610013954Z,0,
2163,"""Look her CMYM is falling off ... This song was almost as wack as that Roman in Mosocow or that horrible Massive attack . Sad thing is she don't need the gimmicks . He 15 of fame is up .\\nWayne and them prepping lilttle Twist to get his Raz B role on . This dude dressed up like he about play house with his imaginary friend . He was looking extra fruity in that video wio with busta rhymes. Give the homothugs back their swag!!!!!\\n\\nThhey Drake over here siging like the male Sade and doing hater anthems .\\n They got a gant gang of cats that won't make a single penny off a single record cause nobody kno theses duded or they are plaain trash like ANT Dog , Lilttle CHUCKI, gudda gudda , Jae Mills and prolly a few bums wed don't know about on that booty label.... they prepping like Twist to be the next Rax b ...bet cha by gollywoll..... who's checking for GUDDA GUDDA ?? Ant Dog ?? Nobody ...Nicki will kill this labelwith the wackkness that she been dropping. DRAKE TRYING TO BE MALE sade . And glasses malone will NEVER drop a album off Cashmoney .. Bow Wow trying to fit in with a his trash....birdman won't stop rapping until his gold teeth fall out !!!! Plus I'm still tripping off skateboard bloods? Smh .. Tyga a soft cat too... when Jaemill and Glasses malone drop a album I will walk bearefoot on broked glass and feed myself to a alligator!""",,0,
2164,"""Turn to ESPN Classic if you got it now!\n\nLarry Bird about to be God again.\n\n17 seconds left in the game! ;)""",20120528225615Z,0,
2165,"""Jing, I love this card!  Your coloring is spectacular!  Gorgeous white on white card!!!""",20120620144319Z,0,
2166,"""Your mom is a mean hoe charging 200 for 15 dollar pussy.""",20120610040617Z,1,
2167,"""Okay, then use the word I not we. That way you are expressing your personal views. Thanks.""",20120620051309Z,0,
2168,"""you're a f-ing pos aren't you? \xa0weak pathetic loser liberal turd. I suppose you kept your virginity until you were married right? or maybe you are still a virgin a s. e x. scares you.... \xa0maybe you are just a perfect holy roller, oh wait that can't be because YOU think holy rollers are all republicans... hmmmm \xa0ok I'll bet you are just an id iot.""",20120320191948Z,1,
2169,"""she is in love with a coward just like Eva Braun was""",,0,
2170,"""Steve you are proof that agism lives, and that there is really no age range for dumb ignoramus.\xa0\xa0 LOL""",20120502142432Z,1,
2171,"""True...but if you are around someone who abuses drugs contstantly and the drugs are always around and you feel hopeless because you married a loser like Bobby Brown and he treats you like crap you sure would be tempted....""",20120619152712Z,0,
2172,"""So you believe in Syrian propaganda!\n\nhahahaha\nYou still make me laugh.\n\nGolden BS award for the gullible childish bigot of the week is yours again.""",20120612083007Z,0,
2173,"""It's fine to love those first two, just stay away from the third.  And don't smoke weed in your car.....I don't know why these guys don't get that.\n\nEither that, or use part of your $5m signing bonus on a cab.""",20120528152410Z,0,
2174,"""Phil: You ignorant impolite, rude slut. Go F**K Yourself.\xa0 Exercising freedom of expression, which you apparent;y are against unless it concurs with your outdated view of the world.""",20120320181551Z,1,
2175,"""No G Goon was right, you're an idiot, plain and simple!!!""",20120612000417Z,0,
2176,"""Sounds like you're a scummy family.""",20120530040511Z,1,
2177,"""Notheism:\xa0 Are you serious? How can you say this is ""revenge"".\xa0 The rapist was caught in the ACT.\xa0 I understand your ignorance, but for god sakes, pick up a dictionary.""",20120612123050Z,1,
2178,"""The FBI,CIA,DOJ let 6 gaylords bury this country, Thet suck hot dogs""",,0,
2179,"""While it is normally hard to rejoin a serialized drama once you stop watching, nothing ever happened on this show. While it had a great cast and a refreshing atmosphere, this show was so slow that at times I thought it might be moving backwards. Two seasons could have easily been one. The episode is a day in the investigation idea was probably the shows biggest error.""",20120619185347Z,0,
2180,"""Fuck you.""",20120620040538Z,1,
2181,"""Is that the war we decided to lose, because the Kings Freemasons wrote the constitution, Act of Independence that never was and set the US up as a crown (not royal) corporation and is that why a relatively new CIA has its officers sware an oath to the Crown??lol\n\nThe poor Amerikan sheeple are really living and working in a Crown work camp anf now you might understand why Amerikans are probably the most isolated and narrow minded extreme thinkers on the planet""",20120619090109Z,0,
2182,"""Awwww Harper is so cute, i feel sorry for victoria Beckham, they only print the picture's where she's not smiling because they have nothing else to print other than her frown, i dont blame her i think i'd frown if i was being followed around off paps all the time even tho it comes with the job it must get to ya.""",,0,
2183,"""school lunches suck the big one and are the most unhealthy choices available... who do they think they are to try to tell anyone they have healthier lunches at school??? our school lunches are so ridiculously high in fat and sodium... not to mention processed foods are the majority of what they serve. I would never let my child eat school provided lunches unless they did a major overhaul! """,,0,
2184,"""Go away you orrible little cretin""",,1,
2185,"""Funny you mention Kobe and Rape LMAO <br>""",20120502055259Z,0,
2186,"""@DougEngland I don't get it either.\\n\\nFlorio just said something to the effect that it was very calculated that Manning went to local media first; nothing specific about why WK, but since he had him on his show that day, it might have just been flattery. It was on PFT Live yesterday -- it's on iTunes or the PFT site. (Since he interviews WK, you might be happier not watching!)""",,0,
2187,"""That's funny, don't care who ya are!""",20120529142244Z,0,
2188,"""LOL And you eat hot dogs (cow rectums).  LOL""",20120515211037Z,1,
2189,"""What are you guys smoking?""",20120529204450Z,1,
2190,"""Touche! Apparently, you don't know what an anology is!""",20120502135050Z,0,
2191,"""Lots of women use it to burn body fat and improve skin quality.  but you don't get one injection, you get a daily injection over a course of 6 months""",20120515165233Z,0,
2192,"""See, this is why it's a good idea to keep your religion to yourself. When you start expecting other people to believe as you believe, you look like an asshole.\n\nAnd we make fun of you. That's good for us, but not always for you""",20120514050631Z,0,
2193,"""I'm the same way.\xa0 I am terrified of doing my own brows. I've seen way to many ladies w. fucked up eyebrows to go down that path.""",20120529162503Z,0,
2194,"""""pretty sure"" don't cut it pal. \xa0Read his first book, published long before he dreamed of being president.""",20120530031921Z,0,
2195,"""_yeah_i_bet_you're_a_occupy_fucking_nigger!""",20120610023319Z,1,
2196,"""I like Andys chances at the USO.""",20120528194226Z,0,
2197,"""JSMASTER\n\ngod youre retarded, the ENTIRE point of this article is to PROMOTE the movie to people so they go see it moron. Not SEEN.....SEE!!!\n\nand the pathetic pr!ck who posted the spoiler is an attention seeking beyond dumb loser who knew exactly what he was doing and posted it just to feel like he was special for once in his life because he got to see a movie a week before its released in the country the movie is made and where most people are going to see it!\n\nand FYI saying pathetic ""SPOILER"" doesnt make it okay genius, peoples would have immediately seen the giant R.I.P. even if they were trying to avoid it\n\nget a clue before speaking next time idiot""",20120502171010Z,1,
2198,"""@smlombardi http://t.co/oJNGIj8g""",,0,
2199,"""You are playing right into it's game.  Ignore the vegemite and it will go away.""",20120530134818Z,0,
2200,"""How many commenters are you maliciously impersonating tonight, Jack White? \xa0\n\n\n\nEvery single time, Jake. \xa0Every time you maliciously thieve another's identity on this site for the sole purpose of castigating their character, you will be called out on it.\n\n\n\nJack Dale White---- ""DefeatObama"", ""Jake2"", ""JBoboJake"", ""JBoboJake5""--- is the paid political operative responsible for this filth. \xa0 He has maliciously stalked these boards for 3 years, libelously impersonating over 3 dozen individuals--- over 2,000 times--- to degrade and defame their characters and thieve their 1st Amendment rights in this forum.\n\n\n\n\n\nHe impersonates ""Joe"" through:\xa0 http://disqus.com/guest/429500a5a54600958c9c7ac032a37f66/\n\n\n\nHe impersonates me through Disqus profile: \xa0\n\nhttp://disqus.com/guest/5345b08d618e3b24c28ba7f032e9ef1a/\n\n\n\nHe impersonates Lloyd C through Disqus profile:\n\nhttp://disqus.com/guest/768cfabe0589899e2e5c769b742f1fb1\n\n\n\nHe impersonates Gone Fishing through Disqus profile:\xa0\n\nhttp://disqus.com/guest/bf415db24b853866500228e3b7ed3050/\n\n\n\nHe impersonates Party Of No Plans through Disqus profile:\n\nhttp://disqus.com/guest/b38e94fffb28f773740f3031ad23b519/\n\n\n\nHe's impersonating Carl1 with Disqus profile:\xa0 http://disqus.com/guest/96c5fb8607cafbccfddb5df64c19cf9d/\n\n\n\nHe impersonates Sam through: \xa0http://disqus.com/guest/e14db5917a9a6b8db1e2b3b60a59ada5/\n\n\n\nHe additionally creates hundreds, if not thousands, of fake personas to coat these boards with false right wing rage.\xa0\n\n\n\nCurrently writing as ""President Obama"" through Disqus profile:\xa0 http://disqus.com/guest/fed4888d847809871fb723075c346c0b/\n\n\n\nAs ""Moochelle Obama"" through:\xa0 http://disqus.com/guest/1ebc32c259d2b92db8558c827c2fef06/\n\n\n\nAs ""Anti-Lib"" through: http://disqus.com/guest/16e0d64a56b87e28cd7f00ebf32cc1ec/\n\n\n\nAs ""Not Jake or Jack"" through:\xa0 http://disqus.com/guest/7c1ff426e767c2e098e317fa8446755d/\n\n\n\nAs ""Monica""\xa0 through:\xa0 http://disqus.com/guest/ae869fcb762589d1990f77ec79086493/\n\n\n\nPlease call or email The Hill's Comment Moderator, Mr. Emmanuel Touhey, to INSIST that The Hill finally stand by the Terms and Conditions that they established to guide the rules for order here--- which Mr. White has outright said he will NEVER follow unless prosecuted by law.\n\n\n\nWhile the defamation case progresses against him, please call or email the moderator to get Mr. Jack Dale White evicted from this site for all that he has done to burn this site's dignity to the ground.\n\n\n\nEmmanuel Touhey, Comment Editor\n\n(202) 628-8500\n\nemmanuel.touhey@thehill.com\n\n\n\nAnd the lawyer to whom The Hill egregiously throws all complaints about Mr. White in order to avoid having to deal with them:\xa0\n\n\n\nMr. Jeremy Feigelson\n\n(212) 909 6000\n\njfeigelson@debevoise.com\n\n\n\n\n\n""All that is necessary for the triumph of evil is that good men do nothing."" \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \u2013 Edmund Burke\n\n\n\nDO something.""",20120529014408Z,0,
2201,"""my screen is stuck in the black screen help somebody""",,0,
2202,"""Why is it that you don't kill yourself you stupid fascist puppet?""",20120609191814Z,1,
2203,"""Hey Brazile, Romney is a successful businessman who knows how to create jobs and make businesses viable \nObama is a failed president who flushes trillions in tax payers money down the crapper and to his cronies in failed stimulus and failed green energy scams...""",20120619151905Z,0,
2204,"""Get the fuck out of my comment section you samurai jack lookin muthafucka.""",20120610001125Z,1,
2205,"""And the two posts below just proved out your first sentence.""",20120528181153Z,0,
2206,"""\xa3220 billion - well at least we covered the cost of the bonuses.\nIf anyone - yes, anyone including anyone off the dole - had invested \xa3220 billion at a modest 5% they would have earned \xa35.5 billion. Now remind me what Bob Diamond made to justify his \xa310 million salary?\nOur banking system is a ponzi scam.""",20120528192131Z,0,
2207,"""Why don't you just ignore this""",20120529144105Z,0,
2208,"""you are a asshole for putting addicts down!!! why bash us!!! at least we have an excuse wats urz jackass!!!!!!!!!!!""",20120320211717Z,1,
2209,"""shut up idiot go back to listening your chunti music\nmy parents are entrepreneurs who make millions a year\nmy rooms costs more than all of your families homes\noh wait, they do not own anything!!""",20120610221219Z,1,
2210,"""did anyone else shit themselves after 1:37?""",20120619121216Z,0,
2211,"""Type your comment here.sfsdfasdfsad""",20120609173356Z,0,
2212,"""you are just jealous. You and your friend don'tknow nothing about them.""",20120514050444Z,0,
2213,"""Forget about gta v, where the fuck is Agent""",20120611193428Z,0,
2214,"""A couple of greedy, non-appreciative hos!""",20120611210611Z,1,
2215,"""Apparently you think Barrack is doing a bang up job ! \\xc2\\xa0The fact that he inherited a sick economy brought on by the democrats, \\xc2\\xa0and has spent over a trillion a year to make it \\xc2\\xa0WORSE \\xc2\\xa0has escaped you !""",,0,
2216,"""Park is recognized and should go to bed.""",20120530065909Z,0,
2217,"""..............RON PAUL....is SCARY WRONG......""",20120619010607Z,0,
2218,"""WE ALL KNOW THEM JESUS FREAKS ARE THE BIGGEST FREAKS IN THE WORLD! (SEXUALLY)""",20120618222716Z,0,
2219,"""Remove your white hood so we can see your face, Bubba!""",20120610114819Z,0,
2220,""">A fully reserved Tyranid army built right can indeed exploit the current Internet meta lists.\\n\\nHow? You make this claim several times but don\\'t present any kind of strategy, evidence, or anything else. How are you ""exploiting the meta""? How does the army deal with mechanized lists and mobile armies?\\n\\n>The long answer is yes but it will require near perfect play and some degree of luck.\\n\\nWhy do you feel that a reserve army with perfect play/good luck can beat top tier lists, but other armies cannot? What makes it more effective in this regard?\\n\\n>I\\'ve also noticed that kill points are not often chosen as a primary \\nobjective at other events such as those that use the P/S/T format\\n\\nI can\\'t speak for your experience, but most such events that I\\'ve seen have three objectives that are randomly allocated priority, making KP no more or less common than the others. Moreover, giving up KP is hardly the main disadvantage of the list; others rank much more significantly.\\n\\n> Note that roughly 75 percent of your army should arrive during the second turn\\n\\n:| Math, huh?\\n\\n>Many of the units in my army are fast due to fleet so I can quickly redeploy much of my army as the game progresses\\n\\nFleet doesn\\'t make you any faster than anything else. Other infantry can Run, and tanks are flat-out faster than you thanks to being able to move 12"" automatically rather than hoping for a good roll.\\n\\n> Imperial Guard armies heavily rely upon their Chimeras to protect their\\n scoring units so you want to prioritize targeting their transports...\\n\\nAgain, how do you actually kill transports? The lists you present usually feature very little AT. Your Zoanthropes and Trygon are the only units that will be able to consistently kill tanks.\\n\\n>At the end of the day though the results are the same\\xe2\\x80\\x94no major wins for \\nTyranids in fifth edition at any big events and I don\\'t believe that is \\ngoing to change while fifth edition is still in effect.\\n\\nEntirely true- at this point, I don\\'t think that Tyranids are likely to take any major events, as too many factors are stacked against them. It\\'s not impossible to win with them, but especially in environments where mech lists are common they will struggle. So do you really think that your own list is going to be able to achieve this- that you\\'ll get ""near perfect play and some luck"" six or seven games in a row against other skilled generals to actually win a top spot?\\n """,,0,
2221,"""Are you watching a Quantum Leap marathon?""",20120530023817Z,0,
2222,"""Go to hell you old bastard""",20120320185709Z,1,
2223,"""We need a government, for the people, by the people.""",20120619205211Z,0,
2224,"""At least you're sticking to your guns.<br>""",20120528081016Z,0,
2225,"""It was his idiot parents, idiot.""",20120619213024Z,1,
